grille_id,referentiel_id,epreuve,competence_code,competence,famille,niveau_code,niveau_libelle,note_min,note_max,indicateur,critique
GR_6E6D9894,RNCP38765,EP1,C2.6,Maintenir les locaux et matériels en bon état (CRITIQUE),Hygiène,EXC,Excellent,15,20.0,"Hygiène irréprochable, démarche HACCP parfaitement intégrée",1
GR_5031F6C6,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,DEB,Débutant,0,4.5,"Crème ratée ou non réalisée, texture incorrecte, cuisson inadaptée",0
GR_964C47BB,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,EXE,Exécution,5,9.5,Crème réalisée mais texture ou goût perfectibles,0
GR_9F741FC6,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,OPE,Opérationnel,10,14.5,"Crème conforme, bonne texture, cuisson maîtrisée",0
GR_6E1C83AA,RNCP38765,EP1,C3.1,Élaborer des crèmes par cuisson,Technique,EXC,Excellent,15,20.0,"Crème parfaite, gestes précis, résultat au-delà des attentes",0
GR_0D6EB116,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, levée-feuilletée, feuilletée)",Technique,DEB,Débutant,0,4.5,"Pâte ratée, feuilletage absent ou incorrecte, levée insuffisante",0
GR_ABAA6198,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, levée-feuilletée, feuilletée)",Technique,EXE,Exécution,5,9.5,Pâte réalisée mais développement ou texture insuffisants,0
GR_E91A7088,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, levée-feuilletée, feuilletée)",Technique,OPE,Opérationnel,10,14.5,"Pâte conforme, bonne texture, développement correct à la cuisson",0
GR_0E2C2586,RNCP38765,EP1,C3.2,"Réaliser des pâtes (levée, levée-feuilletée, feuilletée)",Technique,EXC,Excellent,15,20.0,"Pâte de qualité professionnelle, feuilletage régulier, développement parfait",0
GR_49D282F5,RNCP38765,EP1,C3.3,"Réaliser petits fours secs, moelleux, meringues, gâteaux de voyage",Technique,DEB,Débutant,0,4.5,"Productions non conformes, cuisson incorrecte, aspect non commercial",0
GR_435DA5CB,RNCP38765,EP1,C3.3,"Réaliser petits fours secs, moelleux, meringues, gâteaux de voyage",Technique,EXE,Exécution,5,9.5,Productions correctes mais régularité ou finition insuffisantes,0
GR_E715F7D3,RNCP38765,EP1,C3.3,"Réaliser petits fours secs, moelleux, meringues, gâteaux de voyage",Technique,OPE,Opérationnel,10,14.5,"Productions conformes, régulières, bien cuites, aspect commercial",0
GR_3E98FFB6,RNCP38765,EP1,C3.3,"Réaliser petits fours secs, moelleux, meringues, gâteaux de voyage",Technique,EXC,Excellent,15,20.0,"Productions de qualité artisanale supérieure, finitions soignées, régularité parfaite",0
GR_27A4F87E,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,DEB,Débutant,0,4.5,"Aucune analyse, ne sait pas identifier les défauts",0
GR_ACBFE538,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,EXE,Exécution,5,9.5,"Analyse partielle, identifie quelques défauts sans proposer de corrections",0
GR_6AF11B74,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,OPE,Opérationnel,10,14.5,"Analyse correcte, identifie défauts et propose des corrections pertinentes",0
GR_8E0D0CFD,RNCP38765,EP1,C3.15,Analyser la production (organoleptique),Évaluation,EXC,Excellent,15,20.0,"Analyse experte, argumentation précise, vocabulaire professionnel maîtrisé",0
GR_107AC075,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,DEB,Débutant,0,4.5,"Organigramme absent ou complètement erroné, aucune logique de production",0
GR_0968903B,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,EXE,Exécution,5,9.5,"Organigramme incomplet, ordre des étapes partiellement correct",0
GR_C70586B5,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,OPE,Opérationnel,10,14.5,"Organigramme logique, respecté durant la fabrication, timing globalement tenu",0
GR_E4B27EC9,RNCP38765,EP2,C4.1,Élaborer l'organigramme de travail,Organisation,EXC,Excellent,15,20.0,"Organigramme optimal, anticipation des contraintes, timing parfaitement maîtrisé",0
GR_04DCAA44,RNCP38765,EP2,C5.1,"Réaliser les fonds d'entremets (génoise, dacquoise, joconde...)",Technique,DEB,Débutant,0,4.5,"Fonds ratés, texture ou cuisson incorrecte",0
GR_085217D2,RNCP38765,EP2,C5.1,"Réaliser les fonds d'entremets (génoise, dacquoise, joconde...)",Technique,EXE,Exécution,5,9.5,Fonds réalisés mais régularité ou cuisson perfectibles,0
GR_7D4F23F8,RNCP38765,EP2,C5.1,"Réaliser les fonds d'entremets (génoise, dacquoise, joconde...)",Technique,OPE,Opérationnel,10,14.5,"Fonds conformes, bonne texture, cuisson maîtrisée",0
GR_5A02C73D,RNCP38765,EP2,C5.1,"Réaliser les fonds d'entremets (génoise, dacquoise, joconde...)",Technique,EXC,Excellent,15,20.0,"Fonds de qualité supérieure, légèreté et régularité parfaites",0
GR_ABC79C1A,RNCP38765,EP2,C5.2,"Préparer les garnitures (mousses, crémeux, ganaches, compotées)",Technique,DEB,Débutant,0,4.5,"Garnitures non conformes, textures incorrectes, sécurité alimentaire non respectée",0
GR_8B6D6174,RNCP38765,EP2,C5.2,"Préparer les garnitures (mousses, crémeux, ganaches, compotées)",Technique,EXE,Exécution,5,9.5,Garnitures correctes mais texture ou équilibre des saveurs perfectibles,0
GR_797735B8,RNCP38765,EP2,C5.2,"Préparer les garnitures (mousses, crémeux, ganaches, compotées)",Technique,OPE,Opérationnel,10,14.5,"Garnitures conformes, bonne texture, saveurs équilibrées",0
GR_E36FD766,RNCP38765,EP2,C5.2,"Préparer les garnitures (mousses, crémeux, ganaches, compotées)",Technique,EXC,Excellent,15,20.0,"Garnitures excellentes, équilibre parfait, maîtrise technique et gustative",0
GR_75EB3275,RNCP38765,EP2,C5.3,"Monter, garnir et glacer l'entremets",Technique,DEB,Débutant,0,4.5,"Montage incorrect, entremets déformé ou non terminé",0
GR_385A9698,RNCP38765,EP2,C5.3,"Monter, garnir et glacer l'entremets",Technique,EXE,Exécution,5,9.5,"Montage globalement correct, quelques irrégularités ou défauts de finition",0
GR_228CB5FC,RNCP38765,EP2,C5.3,"Monter, garnir et glacer l'entremets",Technique,OPE,Opérationnel,10,14.5,"Montage régulier, glaçage lisse, entremets commercialisable",0
GR_D7103E52,RNCP38765,EP2,C5.3,"Monter, garnir et glacer l'entremets",Technique,EXC,Excellent,15,20.0,"Montage impeccable, glaçage miroir parfait, qualité pâtisserie de vitrine",0
GR_DEDC4F98,RNCP38765,EP2,C5.4,"Décorer l'entremets (chocolat, cornet, éléments décoratifs)",Technique,DEB,Débutant,0,4.5,"Décors absents ou ne tiennent pas, aucune mise en valeur",0
GR_4FF69E77,RNCP38765,EP2,C5.4,"Décorer l'entremets (chocolat, cornet, éléments décoratifs)",Technique,EXE,Exécution,5,9.5,Décors présents mais maladroits ou peu valorisants,0
GR_510BAB84,RNCP38765,EP2,C5.4,"Décorer l'entremets (chocolat, cornet, éléments décoratifs)",Technique,OPE,Opérationnel,10,14.5,"Décors soignés, cohérents avec le produit, écriture au cornet lisible",0
GR_2402B84E,RNCP38765,EP2,C5.4,"Décorer l'entremets (chocolat, cornet, éléments décoratifs)",Technique,EXC,Excellent,15,20.0,"Décors élaborés, créatifs, écriture parfaite, présentation digne d'un concours",0
GR_7841CB16,RNCP38765,EP2,C6.1,Valoriser et présenter la production,Valorisation,DEB,Débutant,0,4.5,"Aucune mise en valeur, présentation négligée",0
GR_8B52ADF2,RNCP38765,EP2,C6.1,Valoriser et présenter la production,Valorisation,EXE,Exécution,5,9.5,Présentation correcte mais manque de soin ou d'argumentation,0
GR_DB2C26A2,RNCP38765,EP2,C6.1,Valoriser et présenter la production,Valorisation,OPE,Opérationnel,10,14.5,"Présentation soignée, argumentaire commercial correct",0
GR_0C1673B7,RNCP38765,EP2,C6.1,Valoriser et présenter la production,Valorisation,EXC,Excellent,15,20.0,"Présentation professionnelle, discours de vente maîtrisé, mise en scène soignée",0
GR_178DBA56,RNCP38765,EP2,C7.1,Faire le bilan du travail réalisé (compte-rendu oral),Évaluation,DEB,Débutant,0,4.5,"Incapable d'analyser sa prestation, aucun recul",0
GR_3DDFDBDD,RNCP38765,EP2,C7.1,Faire le bilan du travail réalisé (compte-rendu oral),Évaluation,EXE,Exécution,5,9.5,"Bilan partiel, identifie quelques points sans argumentation",0
GR_44B16220,RNCP38765,EP2,C7.1,Faire le bilan du travail réalisé (compte-rendu oral),Évaluation,OPE,Opérationnel,10,14.5,"Bilan structuré, identifie points forts et axes d'amélioration",0
GR_743BE7F8,RNCP38765,EP2,C7.1,Faire le bilan du travail réalisé (compte-rendu oral),Évaluation,EXC,Excellent,15,20.0,"Bilan expert, analyse critique précise, propose des améliorations concrètes",0
GR_57729B29,RNCP38765,EP2,C7.2,Mesurer le coût des produits fabriqués,Gestion,DEB,Débutant,0,4.5,Aucun calcul ou calcul complètement erroné,0
GR_51282D96,RNCP38765,EP2,C7.2,Mesurer le coût des produits fabriqués,Gestion,EXE,Exécution,5,9.5,"Calcul partiel, erreurs importantes",0
GR_E9B57EE7,RNCP38765,EP2,C7.2,Mesurer le coût des produits fabriqués,Gestion,OPE,Opérationnel,10,14.5,"Calcul correct, résultat cohérent avec la réalité professionnelle",0
GR_28FC071E,RNCP38765,EP2,C7.2,Mesurer le coût des produits fabriqués,Gestion,EXC,Excellent,15,20.0,"Calcul précis, interprétation et analyse du coût, propositions d'optimisation",0
